Bezeichnung / Feldgeräte,Beschreibung
WSM625-BE,"Wärmezähler 2.5m3/h,1'',130 mm,M-Bus"
WSN606-BE,"Kombizähler 0.6m3/h,3/4'',110 mm,M-Bus"
WSN615-BE,"Kombizähler 1.5m3/h,3/4'',110 mm,M-Bus"
WSN625-BE,"Kombizähler 2.5m3/h,1'',130 mm,M-Bus"
WTV531-GA5060,M-Bus Pegelwandler für 60 Geräte
WTV676-HB6035,M-Bus-Zentrale/Webserver für 20 Geräte
WUNHY-WA,Wasser Detektor 24V AC\DC
WZM-E1,"Verschraubung IG 1"" / AG 3/4"""
WZM-E34,Verschraubung IG G3/4'' / AG R1/2''
WZM-E34,Verschraubung IG G3/4'' / AG R1/2''
WZM-E54,"Verschraubung IG 5/4"" / AG 1"""
WZM-F260,"Zählerersatzstück DN25, 260 mm, PN25"
WZM-F270,"Zählerersatzstück DN50, 270 mm, PN16"
WZM-F300,"Zählerersatzstück DN40, 300 mm, PN16"
WZM-F300.65,"Zählerersatzstück DN65, 300 mm, PN25"
WZM-F300.80,"Zählerersatzstück DN80, 300 mm, PN16"
WZM-F360.100-25,"Zählerersatzstück DN100, 360 mm,PN25"
WZM-G110,"Zählerersatzstück 3/4'', 110 mm"
WZM-G130,"Zählerersatzstück 1'', 130 mm"
WZM-G190,"Zählerersatzstück 1'', 190 mm"
WZM-G260,"Zählerersatzstück 11/4'', 260 mm"
WZM-QP150-25,"Volumenmessteil, PN25,150m3/h,DN150,Set"
WZM-QP150-AP,"Abdeckungs- und Dichtset, PN16, PN25"
WZM-V130,"Verlängerung 110 auf 130 mm G3/4B"",G3/4B"""
WZM-V130,"Verlängerung 110 auf 130 mm G3/4B"",G3/4B"""
WZM-V130.G1,"Verlängerung 110 auf 130 mm G3/4B"", G1B"""
WZM-V130.G1,"Verlängerung 110 auf 130 mm G3/4B"", G1B"""
WZM-V190,"Verlängerung 110 auf 190 mm G3/4B"", G1B"""
WZM-V190,"Verlängerung 110 auf 190 mm G3/4B"", G1B"""
WZT-A12,S55563-F116 /WZT-A12 Adapter 1/2Z
WZT-A34,Adapter G3/4B'' für Fühler M10x1
WZT-A38,Adapter G3/8B'' für Fühler M10x1
WZT-G10,Einschweissmuffe für Fühler M10x1
WZT-G12,"Einschweissmuffe für Fühler G1/2'', 45°"
WZT-GLG,"Einschweissmuffe für Fühler G1/2'', 90°"
WZT-K1,"Kugelhahn 1"", für Fühler M10x1, 28 mm"
WZT-K1-1,Kugelhahn R1'' mit Überwurfmutter G1''
WZT-K12,"Kugelhahn Rp1/2"" für Fühler M10x1, 28 mm"
WZT-K12-34,Kugelhahn R1/2'' mit Überwurfmutter G3/4''
WZT-K34,Kugelhahn Rp3/4
WZT-K34-1,Kugelhahn R3/4'' mit Überwurfmutter G1''
WZT-K34-34,Kugelhahn R3/4'' mit Überwurfmutter G3/4''
WZT-M35,"Tauchhülse G1/2B'', für Fühler 5,2x45 mm"
WZT-S100,"Tauchhülse G1/2B''/1/4'',100 mm,Fühler 6 mm"
WZT-S150,"Tauchhülse G1/2B''/1/4'',150 mm,Fühler 6 mm"
WZT-S43V,"Tauchhülse G1/2B"", für Fühler 5,2x37 mm"
WZU-485E-BAC,"BACnet-Modul für UH50..,UC50.."
WZU-485E-MOD,"MODbus-Modul,RS485 für UH50..,UC50.."
WZU5-1020,"Temperaturfühler 100 mm,Pt500,2m,Ø6"
WZU5-1050,"Temperaturfühler 100 mm,Pt500,5m,Ø6"
WZU5-1520,"Temperaturfühler 150 mm,Pt500,2m,Ø6"
WZU5-1550,"Temperaturfühler 150 mm,Pt500,5m,Ø6"
WZU5-2825,"Temperaturfühler 27.5 mm,Pt500,2.5m,M10x1"
WZU5-3815,"Temperaturfühler 38 mm,Pt500,1.5m,M10x1"
WZU5-3825,"Temperaturfühler 38 mm,Pt500,2.5m,M10x1"
WZU5-4515,"Temperaturfühler 45 mm,Pt500,1.5m,Ø5.2"
WZU5-4550,"Temperaturfühler 45 mm,Pt500,5m,Ø5.2"
WZU5-6050,ZZT:727337/WZU5-6050
WZU-AC110/230-15,"Netzteil AC 230 V, 1.5 m Kabel"
WZU-ACDC24-50,S55563-F156 /WZU-ACDC24-50 Netzmodul AC/
WZU-AM,Analogmodul
WZU-ANT-MAG,"Antenne 868MHz,Magnetfuss,1.5m,SMA/M"
WZU-ANT-WALL,"Antenne 868MHz,für Wand,IP66,1.5m,SMA/M"
WZU-BDS,"Batterie 16 Jahre, UH50.."
WZU-LORA,"LoRa Modul für UH50.., UC50.."
WZU-LORA-EXT,"LoRa Modul für UH50.., UC50.., ext.Ant."
WZU-MB G4,M-Bus-Modul (Generation 4)
WZU-MI,M-Bus-Modul mit 2 Impulseingänge
WZU-NE24,Netzteil AC230V für Analogmodul WZU-AM
WZU-P2,Impulsmodul
WZU-WA,Wandhalterung für UH50../UC50..
Z155/100,"Blindflansch für M3P, DN100"
Z155/15F,"Blindflansch für MXF461, DN15"
Z155/20F,"Blindflansch für MXF461, DN20"
Z155/25F,"Blindflansch für MXF461, DN25"
Z155/32F,"Blindflansch für MXF461, DN32"
Z155/40,"Blindflansch für MXF461, DN40"
Z155/50,"Blindflansch für MXF461, DN50"
Z155/65,"Blindflansch für MXF461, DN65"
Z155/80,"Blindflansch für M3P, DN80"
Z366,Stösselheizung für MXF461B und MVF461H
ZM100/A,"Anschlussgehäuse,AC24V,0-10V,0-20VPhs"
ZM101/A,"Anschlussgehäuse,AC24V,0-10V,0-20VPhs"
ZM110,"Anschlussgehäuse,0-20VPhs"
ZM111,"Anschlussgehäuse,0-20VPhs"
ZM120/A,"Anschlussgehäuse,AC24V,4-20mA,0-20VPhs"
ZM121/A,"Anschlussgehäuse,AC24V,4-20mA,0-20VPhs"
ZM150,"Anschlussgehäuse,0-10V,4-20mA,"
ZM200/A,"Anschlussgehäuse,AC24V,0-10V,0-20VPhs"
ZM220/A,"Anschlussgehäuse,AC24V,4-20mA,0-20VPhs"
ZM250,"Anschlussgehäuse,AC24V,0-10V,4-20mA"
Z-QAP,Zugentlastung und Kältesperre
VXG41.50,"Dreiwegventil, PN16,DN50, AG, 40"
VXG41.5001,"Dreiwegventil, PN16,DN50, AG, 40,dByp"
VXG44.15-0.25,"Dreiwegventil, PN16, DN15, AG, 0.25"
VXG44.15-0.4,"Dreiwegventil, PN16, DN15, AG, 0.4"
VXG44.15-0.63,"Dreiwegventil, PN16, DN15, AG, 0.63"
VXG44.15-1,"Dreiwegventil, PN16, DN15, AG, 1"
VXG44.15-1.6,"Dreiwegventil, PN16, DN15, AG, 1.6"
VXG44.15-2.5,"Dreiwegventil, PN16, DN15, AG, 2.5"
VXG44.15-4,"Dreiwegventil, PN16, DN15, AG, 4"
VXG44.20-6.3,"Dreiwegventil, PN16, DN20, AG, 6.3"
VXG44.25-10,"Dreiwegventil, PN16, DN25, AG, 10"
VXG44.32-16,"Dreiwegventil, PN16, DN32, AG, 16"
VXG44.40-25,"Dreiwegventil, PN16, DN40, AG, 25"
VXI46.15,"Dreiwegventil, DN15, IG, 2"
VXI46.20,"Dreiwegventil, DN20, IG, 3.5"
VXI46.25,"Dreiwegventil, DN25, IG, 5"
VXI46.25T,"Dreiwegventil, DN25, IG, 5"
VXP45.10-0.25,"Dreiwegventil, PN16,DN10,AG, 0.25"
VXP45.10-0.4,"Dreiwegventil, PN16,DN10,AG, 0.4"
VXP45.10-0.63,"Dreiwegventil, PN16,DN10,AG, 0.63"
VXP45.10-1,"Dreiwegventil, PN16,DN10,AG, 1"
VXP45.10-1.6,"Dreiwegventil, PN16,DN10,AG, 1.6"
VXP45.15-2.5,"Dreiwegventil, PN16,DN15,AG, 2.5"
VXP45.20-4,"Dreiwegventil, PN16,DN20,AG, 4"
VXP45.25-10,"Dreiwegventil, PN16,DN25,AG, 10"
VXP45.25-6.3,"Dreiwegventil, PN16,DN25,AG, 6.3"
VXP45.32-16,"Dreiwegventil, PN16,DN32,AG, 16"
VXP45.40-25,"Dreiwegventil, PN16,DN40,AG, 25"
VXP47.10-0.25,"Dreiwegventil, PN16,DN10,AG, 0.25"
VXP47.10-0.4,"Dreiwegventil, PN16,DN10,AG, 0.4"
VXP47.10-0.63,"Dreiwegventil, PN16,DN10,AG, 0.63"
VXP47.10-1,"Dreiwegventil, PN16,DN10,AG, 1"
VXP47.10-1.6,"Dreiwegventil, PN16,DN10,AG, 1, MV"
VXP47.15-2.5,"Dreiwegventil, PN16,DN15,AG, 2.5"
VXP47.20-4,"Dreiwegventil, PN16,DN20,AG, 4"
W&T COMSERVER 3P,W&T ComServer 3 Port (58633)
WEBLOG250,M-Bus-Zentrale/Webserver für 250 Geräte
WFK30.D080,"Mech Kaltwasserzähler 2.5m3/h,80mm,3/4"""
WFK30.D110,"Mech Kaltwasserzähler 2.5m3/h,110mm,3/4"""
WFK30.E130,"Mech Kaltwasserzähler 4m3/h,130mm,1"""
WFK40.D080,"Mech Kaltwasserzähler 2.5m3/h,80mm,3/4"""
WFK40.D110,"Mech Kaltwasserzähler 2.5m3/h,110mm,3/4"""
WFK40.E130,"Mech Kaltwasserzähler 4m3/h,130mm,1"""
WFM501-E000H0,"Wärmezähler 0.6m3/h,110mm,3/4"""
WFM502-E000H0,"Wärmezähler 1.5m3/h,110mm,3/4"""
WFM503-J000H0,"Wärmezähler 2.5m3/h,130mm,1"""
WFM541-G000H0,"Wärmez 0.6m3/h,110mm,3/4'',MBus,2xI,splt"
WFM542-C000H0,"Wärmez 1.5m3/h,80mm,3/4'',MBus,2xI,splt"
WFM542-G000H0,"Wärmez 1.5m3/h,110mm,3/4'',MBus,2xI,splt"
WFM543-L000H0,"Wärmez 2.5m3/h,130mm,1'',MBus,2xI,splt"
WFN541-G000H0,"Kombiz 0.6m3/h,3/4'',110mm,MBus,2xI,splt"
WFN542-G000H0,"Kombiz 1.5m3/h,3/4"",110mm,MBus,2xI,splt"
WFN543-L000H0,"Kombiz 2.5m3/h,1'',130mm,MBus,2xI,splt"
WFW30.D080,"Mech Warmwasserzähler 2.5m3/h,80mm,3/4"""
WFW30.D110,"Mech Warmwasserzähler 2.5m3/h,110mm,3/4"""
WFW30.E130,"Mech Warmwasserzähler 4m3/h,130mm,1"""
WFW40.D080,"Mech Warmwasserzähler 2.5m3/h,80mm,3/4"""
WFW40.D110,"Mech Warmwasserzähler 2.5m3/h,110mm,3/4"""
WFW40.E130,"Mech Warmwasserzähler 4m3/h,130mm,1"""
WFZ.B6-1,Blendensatz Unterputz
WFZ.IRDA-USB,Infrarot-Lesekopf mit USB-Schnittstelle
WFZ.MBM-USB,Programmierkabel für M-Bus
WFZ.MBUSSET,M-Bus Anschlussset
WFZ.R110,"Zählerersatzstück 3/4'', 110mm"
WFZ.R130,"Zählerersatzstück 1'', 130mm"
WFZ.R2,"Verschraubungen AG ½"", Überwurfmutter ¾"""
WFZ.R2-1,Verschraubungen AG ¾
WFZ.R80,"Zählerersatzstück 3/4'', 80mm"
WFZ31,M-Bus-Aufsatzmodul zu Wasserzähler
WFZ34,"Impulsmodul, 10 l pro Impuls"
WFZ43,"Impulsmodul, Reed-Kontakt und NAMUR"
WFZ44,"Impulsmodul, Reed-Kontakt"
WFZ51,M-Bus Aufsatzmodul für WF..5.. Wärmez.
WIN2012-TSCAL,Windows 2012 RDS User CAL Hersteller Mic
WINPRODVDPLYBK,"Microsoft DVD Playback,"
WME.EINPUTZ1,Einputzhilfe für Messkapselwasserzähler
WME.L18/H,"Einrohranschlussteil,2"",AG3/4,110mm,Set"
WMK10.D,"Messkapsel Kaltwasserzähler, 1,5m³/h"
WMW10.D,"Messkapsel Warmwasserzähler, 1,5m³/h"
WMZ.K4,Montageschlüssel für Messkapselzähler
WRI982,Verbrauchsdaten-Interface
WSM506-0E,"Wärmezähler 0.6m3/h,3/4"",110mm"
WSM506-BE,"Wärmez. 0.6m3/h,3/4"",110mm,M-Bus"
WSM515-0E,"Wärmezähler 1.5m3/h,3/4"",110mm"
WSM515-BE,"Wärmez. 1.5m3/h,3/4"",110mm,M-Bus"
WSM525-0E,"Wärmezähler 2.5m3/h,1"",130mm"
WSM525-BE,"Wärmezähler 2.5m3/h,1"",130mm,M-Bus"
WSM606-BE,"Wärmez. 0.6m3/h,3/4'',110mm,M-Bus"
WSM615-BE,"Wärmez. 1.5m3/h,3/4'',110mm,M-Bus"
WSM625-BE,"Wärmezähler 2.5m3/h,1'',130mm,M-Bus"
WTV531-GA5060,M-Bus Pegelwandler für 60 Geräte
WTV676-HB6035,WTV676-HB6035 M-Bus Web-Ser
WZC-P250,M-Bus Pegelwandler für 250 Geräte
WZC-P60,M-Bus Pegelwandler für 60 Geräte
WZC-R250,M-Bus-Repeater für 250 Geräte
WZC-S250,"M-Bus-Zentrale, 250 Geräte, Web"
WZM-E1,"Verschraubung IG 1"" / AG 3/4"""
WZM-E34,Verschraubung IG G3/4'' / AG R1/2''
WZM-E54,"Verschraubung IG 5/4"" / AG 1"""
WZM-F260,"Zählerersatzstück DN25, 260 mm, PN25"
WZM-F270,"Zählerersatzstück DN50, 270 mm, PN16"
WZM-F300,"Zählerersatzstück DN40, 300 mm, PN16"
WZM-F300.65,"Zählerersatzstück DN65, 300 mm, PN25"
WZM-F300.80,"Zählerersatzstück DN80, 300 mm, PN16"
WZM-F360.100-25,"Zählerersatzstück DN100, 360 mm,PN25"
WZM-G110,"Zählerersatzstück 3/4'', 110 mm"
WZM-G130,"Zählerersatzstück 1'', 130 mm"
WZM-G190,"Zählerersatzstück 1'', 190 mm"
WZM-G260,"Zählerersatzstück 11/4'', 260 mm"
WZM-QP150-25,"Volumenmessteil, PN25,150m3/h,DN150,Set"
WZM-QP150-AP,"Abdeckungs- und Dichtset, PN16, PN25"
WZM-V110,"Verlängerung 80 auf 110mm G3/4B"", G1B"""
WZM-V130,"Verlängerung 110 auf 130mm G3/4B"",G3/4B"""
WZM-V130.G1,"Verlängerung 110 auf 130mm G3/4B"", G1B"""
WZM-V190,"Verlängerung 110 auf 190mm G3/4B"", G1B"""
WZT-A12,Adapter G1/2B'' für Fühler M10x1
WZT-A34,Adapter G3/4B'' für Fühler M10x1
WZT-A38,Adapter G3/8B'' für Fühler M10x1
WZT-G10,Einschweissmuffe für Fühler M10x1
WZT-G12,"Einschweissmuffe für Fühler G1/2'', 45°"
WZT-GLG,"Einschweissmuffe für Fühler G1/2'', 90°"
WZT-K1,"Kugelhahn 1"", für Fühler M10x1, 28mm"
WZT-K1-1,Kugelhahn R1'' mit Überwurfmutter G1''
WZT-K12,"Kugelhahn Rp1/2"" für Fühler M10x1, 28mm"
WZT-K12-34,Kugelhahn R1/2'' mit Überwurfmutter G3/4''
WZT-K34,Kugelhahn Rp3/4
WZT-K34-1,Kugelhahn R3/4'' mit Überwurfmutter G1''
WZT-K34-34,Kugelhahn R3/4'' mit Überwurfmutter G3/4''
WZT-M35,"Tauchhülse G1/2B'', für Fühler 5,2x45mm"
WZT-S100,"Tauchhülse G1/2B''/1/4'',100mm,Fühler 6mm"
WZT-S150,"Tauchhülse G1/2B''/1/4'',150mm,Fühler 6mm"
WZT-S43V,"Tauchhülse G1/2B"", für Fühler 5,2x37mm"
WZU-485E-BAC,"BACnet-Modul für UH50..,UC50.."
WZU-485E-MOD,"MODbus-Modul,RS485 für UH50..,UC50.."
WZU5-1020,"Temperaturfühler 100mm,Pt500,2m,Ø6"
WZU5-1050,"Temperaturfühler 100mm,Pt500,5m,Ø6"
WZU5-1520,"Temperaturfühler 150mm,Pt500,2m,Ø6"
WZU5-1550,"Temperaturfühler 150mm,Pt500,5m,Ø6"
WZU5-2815,"Temperaturfühler 27.5mm,Pt500,1.5m,M10x1"
WZU5-2825,"Temperaturfühler 27.5mm,Pt500,2.5m,M10x1"
WZU5-3815,"Temperaturfühler 38mm,Pt500,1.5m,M10x1"
WZU5-3825,"Temperaturfühler 38mm,Pt500,2.5m,M10x1"
WZU5-4515,"Temperaturfühler 45mm,Pt500,1.5m,Ø5.2"
WZU5-4550,"Temperaturfühler 45mm,Pt500,5m,Ø5.2"
WZU-AC110/230-15,Netzmodul AC 110/230 V für UH50..
WZU-ACDC24-00,Netzteil 24 V
WZU-AM,Analogmodul
WZU-BDS,"Batterie 16 Jahre, UH50.."
WZU-MB-G4,M-Bus-Modul (Generation 4)
WZU-MI,M-Bus-Modul mit 2 Impulseingänge
WZU-NE24,WZU-NE24
WZU-P2,Impulsmodul
WZU-WA,Wandhalterung für UH50../UC50..
X108POE,"Scalance XB108PoE Switch,8x RJ45 -10/10"
XB004-1,"Scalance XB004-1 Switch,4x RJ45 -10/100"
XB004-1,XB004-1
XB004-2,"Scalance XB004-2 Switch,4x RJ45 -10/100"
XB004-2,XB004-2
XB005,DIN Switch 5 Port 10/100TX 24AC/DC
XB005,XB005
XB008,"Scalance XB008 Switch,8x RJ45 -10/100TX"
XB008,XB008
XB108POE,XB108PoE
XB205-3,"Scalance XB205-3 Switch,5x RJ45 -10/100"
XB205-3,XB205-3
XB208,"Scalance XB208 Switch,8x RJ45 -10/100TX"
XB208,XB208
XB213-3,"Scalance XB213-3 Switch,13x RJ45 -10/10"
XB213-3,XB213-3
XR324-12M,XB324-12M
Z155/100,"Blindflansch für M3P, DN100"
Z155/15F,"Blindflansch für MXF461, DN15"
Z155/20F,"Blindflansch für MXF461, DN20"
Z155/25F,"Blindflansch für MXF461, DN25"
Z155/32F,"Blindflansch für MXF461, DN32"
Z155/40,"Blindflansch für MXF461, DN40"
Z155/50,"Blindflansch für MXF461, DN50"
Z155/65,"Blindflansch für MXF461, DN65"
Z155/80,"Blindflansch für M3P, DN80"
Z366,Stösselheizung für MXF461B und MVF461H
ZM100/A,"Anschlussgehäuse,AC24V,0-10V,0-20VPhs"
ZM101/A,"Anschlussgehäuse,AC24V,0-10V,0-20VPhs"
ZM110,"Anschlussgehäuse,0-20VPhs"
ZM111,"Anschlussgehäuse,0-20VPhs"
ZM120/A,"Anschlussgehäuse,AC24V,4-20mA,0-20VPhs"
ZM121/A,"Anschlussgehäuse,AC24V,4-20mA,0-20VPhs"
ZM150,"Anschlussgehäuse,0-10V,4-20mA,"
ZM200/A,"Anschlussgehäuse,AC24V,0-10V,0-20VPhs"
ZM210,"Anschlussgehäuse,0-20VPhs"
ZM220/A,"Anschlussgehäuse,AC24V,4-20mA,0-20VPhs"
ZM250,"Anschlussgehäuse,AC24V,0-10V,4-20mA"
Z-QAP,Zugentlastung und Kältesperre
ZZ6:FPD,Steuerleitungen  (Fremdmaterial)
ZZ6:FPM,LWL/Innen/Aussenkabel(Fremdmaterial)
ZZ6:JDD,Klemmkaesten (Fremdmaterial)
ZZ6:KIQ,Ueberspannungsschutzgeraete (Fremdmat)
ZZ6:MNA,"Leuchtmittel, sonstige (Fremdmaterial)"
ZZ6:MOA,"Beleuchtungstechnik, sonstige (Fremdmat)"
ZZ6:MOB,Innenleuchten (Fremdmaterial)
ZZ6:MOD,Notleuchten (Fremdmaterial)
ZZ6:MOI,Elektr Vorschaltgerät für Leuch (Fremd)
ZZ6:MRF,Komponenten Gebäudeautomation
ZZ6:NNA,"Tablet, PC, Notebook (Fremdmaterial)"
ZZ6:NNF,"Server, Bladesys, Racks (Fremdmat)"
ZZ6:NO1,"Flachbildschirme, sonstige"
ZZ6:NOY,IT Bildschirme (Fremdmaterial)
ZZ6:NRA,"Netzwerkprodukte, sonstige (Fremdmat)"
ZZ6:NSA,"Sensoren, sonstige (Eigenmaterial)"
ZZ6:OFA,Mechanische Zählsystem
ZZ6:QZA, 
Kältemaschine BACnet,Kältemschine mit BACnet Signal
